latitude,longitude,distance
10.0069921,76.3735699,0.0
10.0069921,76.3735689,9.493073054631141e-05
10.0069921,76.373571,0.00013425232662457948
10.0069921,76.3735684,0.00016442484850584218
10.0069921,76.373566,0.00042454313331053627
10.0069921,76.3735658,0.00044526459464597066
10.0069921,76.3735744,0.0004932745455175266
10.0069921,76.3735643,0.0006152214489810707
10.0069921,76.3735782,0.0009105435801702127
10.0069921,76.3735792,0.0010180186708683128
10.0069921,76.3735794,0.001039914050413191
10.0069921,76.3735592,0.0011703846493835155
10.0069921,76.373581,0.001215706523276589
10.0069921,76.3735819,0.0013153987880467396
10.0069921,76.3735828,0.0014112467665346373
10.0069921,76.373583,0.0014334225968879045
10.0069921,76.3735566,0.0014583535545557242
10.0069921,76.3735839,0.0015336528877606978
10.0069921,76.3735557,0.0015569797458390973
10.0069921,76.3735541,0.0017297202305236357
10.0069921,76.3735864,0.0018061803298520423
10.0069921,76.3735872,0.0018962398575128948
10.0069921,76.3735519,0.0019708131805136505
10.0069921,76.37355,0.002179275470949866
10.0069921,76.3735475,0.002451713621647455
10.0069921,76.3735472,0.0024863878842631857
10.0069921,76.373547,0.0025062432026109077
10.0069921,76.3735465,0.002561371144972383
10.0069921,76.3735944,0.002681688124007171
10.0069921,76.3735979,0.0030673057755214173
10.0069913,76.3735979,0.0030687744400899036
10.0069921,76.3735401,0.003262359160795884
10.0069921,76.3736,0.003295340883805222
10.0069921,76.3736016,0.0034711431684604542
10.0069921,76.3736038,0.0037120222073075745
10.0069921,76.3735353,0.003787724252697679
10.0069921,76.3736069,0.004050995828107607
10.0069921,76.3735318,0.004171554865463416
10.0069916,76.3736082,0.004193102296344873
10.0069921,76.3736104,0.004434393164761986
10.0069921,76.3736154,0.004981828708422695
10.0069921,76.3736161,0.005059015302392499
10.0069921,76.3736162,0.005069692096475501
10.0069921,76.3736175,0.0052116884611994475
10.0069921,76.3736176,0.005222915908132755
10.0069921,76.373619,0.005375963395689793
10.0069921,76.3736207,0.005562163166058825
10.0069921,76.3736214,0.005639396782605303
10.0069921,76.3736216,0.00566092888569664
10.0069921,76.3736218,0.005682379398295239
10.0069921,76.3736225,0.005759565634591884
10.0069921,76.3736237,0.005891061849235807
10.0069921,76.3736244,0.005967814165616204
10.0069921,76.3736247,0.00600094384524801
10.0069921,76.3736248,0.006011446817884092
10.0069921,76.3736256,0.006098514454003495
10.0069921,76.3736258,0.006121376127747202
10.0069921,76.3736259,0.0061316728148020205
10.0069921,76.3736272,0.006274052347070867
10.0069921,76.3736288,0.006449004436616071
10.0069921,76.3735109,0.0064601739698808966
10.0069921,76.3736303,0.006613886062247037
10.0069921,76.3736311,0.006701195167210928
10.0069921,76.3736329,0.006898662628543624
10.0069921,76.3735066,0.0069312436288567515
10.0069921,76.3736338,0.006997238475997317
